Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000000	0.000000	2.302585	0.000000	9.998001	
0.000000	0.000000	2.302585	0.000000	9.998001	
0.049692	1.226945	1.423045	55.754887	51.239753	
0.049628	0.846800	0.962574	70.934583	67.136575	
0.049557	0.767519	0.796087	73.968522	73.515300	
0.049481	0.711553	0.758236	75.916484	74.585085	
0.049398	0.672310	0.759753	77.360454	74.025198	
0.049309	0.628870	0.876597	78.564430	70.695863	
0.049215	0.602070	0.922439	79.842405	69.676067	
0.049114	0.595166	0.818958	80.238397	73.515299	
0.049007	0.565510	0.902424	81.152378	69.226157	
0.048895	0.558951	0.785533	81.374374	75.754851	
0.048776	0.531521	0.705674	82.652349	76.214759	
0.048652	0.536729	0.653736	82.238357	78.604282	
0.048522	0.525091	1.083656	82.756346	66.876627	
0.048386	0.501386	0.977039	83.578330	70.455911	
0.048244	0.486790	0.782599	84.006321	75.634876	
0.048097	0.481455	0.715571	84.206317	77.024598	
0.047944	0.471199	0.594290	84.524311	81.013800	
0.047785	0.464733	0.511425	84.694308	83.823238	
0.047621	0.449767	0.873214	85.184298	73.355331	
0.047451	0.448284	0.562767	85.310295	81.413720	
0.047275	0.426451	1.235424	85.998281	64.507101	
0.047094	0.431667	0.510184	86.020281	83.933216	
0.046908	0.416261	0.569093	86.490272	82.483506	
0.046716	0.417105	0.772233	86.322275	76.914620	
0.046519	0.396238	1.046770	87.144259	67.606481	
0.046316	0.408107	0.723613	86.928263	77.754452	
0.046108	0.394167	0.876562	87.242256	72.845434	
0.045895	0.387545	0.659867	87.668249	81.203762	
0.045677	0.386814	1.113297	87.496252	68.286345	
0.045454	0.391637	0.593551	87.390254	81.093784	
0.045225	0.389901	0.594050	87.512251	81.913620	
0.044992	0.354826	0.508585	88.642228	84.093184	
0.044754	0.371293	0.582509	88.044241	82.733456	
0.044511	0.360986	0.638617	88.308235	81.113780	
0.044263	0.347702	0.564050	88.854224	81.313740	
0.044010	0.378350	0.820461	87.776246	76.274747	
0.043753	0.359439	0.699984	88.528231	78.514299	
0.043491	0.350486	0.795405	88.762226	76.724658	
0.043224	0.345044	0.543013	88.852225	83.583286	
0.042953	0.339580	0.541996	89.130219	83.473308	
0.042678	0.336439	0.736485	89.180219	78.624278	
0.042398	0.324199	0.519161	89.632210	83.363330	
0.042114	0.318718	0.796614	89.762207	79.124178	
0.041825	0.344135	0.613136	88.964223	81.763650	
0.041533	0.326840	0.924499	89.466213	72.935415	
0.041236	0.312896	0.432148	89.990202	86.672668	
0.040936	0.316979	0.822756	89.818206	76.474708	
0.040631	0.307744	0.451218	90.292197	86.232756	
0.040323	0.306347	0.479187	90.140199	85.252952	
0.040011	0.307017	0.713310	90.154199	77.914420	
0.039695	0.304860	0.699072	90.180199	78.434316	
0.039375	0.296008	0.798808	90.560192	76.534696	
0.039052	0.288367	0.613503	90.760188	81.673668	
0.038726	0.283150	0.467370	90.976184	84.903022	
0.038396	0.295189	0.671409	90.520192	80.093984	
0.038062	0.271624	0.439761	91.404175	86.842634	
0.037726	0.265682	0.526477	91.426174	83.583286	
0.037386	0.269013	0.365641	91.250178	88.582286	
0.037044	0.265583	0.410422	91.574171	86.832636	
0.036698	0.275475	0.371601	91.210179	88.172368	
0.036350	0.254327	0.739420	91.738169	79.494104	
0.035998	0.266334	0.651895	91.570171	80.593884	
0.035644	0.268797	0.726256	91.420175	78.334336	
0.035288	0.268882	0.425981	91.402175	86.872628	
0.034929	0.253025	0.479982	91.954164	85.272948	
0.034567	0.239981	0.510149	92.284158	84.933016	
0.034203	0.247909	0.379787	92.112161	87.662470	
0.033837	0.255957	0.415827	91.878166	86.892624	
0.033468	0.243199	0.570828	92.204160	82.983406	
0.033098	0.252766	0.448853	91.984163	85.902822	
0.032725	0.239055	0.484557	92.318157	85.712860	
0.032351	0.246760	0.545481	92.024163	84.473108	
0.031975	0.244817	0.482982	92.170160	84.643074	
0.031597	0.235360	0.368975	92.588152	88.752252	
0.031217	0.242580	0.624377	92.272159	81.833636	
0.030836	0.223606	0.535562	92.852147	84.823038	
0.030454	0.216176	0.373372	93.144141	88.502302	
0.030070	0.218268	0.434004	93.022143	86.732656	
0.029685	0.225222	0.371677	92.918146	88.332336	
0.029298	0.213086	0.414304	93.274139	87.152572	
0.028911	0.217021	0.477664	93.068143	86.062790	
0.028523	0.203086	0.473927	93.608132	85.972808	
0.028133	0.205893	0.592869	93.560133	83.403322	
0.027743	0.212758	0.330847	93.238140	89.572088	
0.027353	0.197723	0.411562	93.858128	88.542294	
0.026961	0.188602	0.403926	94.196121	87.942414	
0.026570	0.208545	0.392186	93.392137	88.052392	
0.026178	0.200193	0.450493	93.684131	87.212560	
0.025785	0.192426	0.494132	94.044124	84.473108	
0.025393	0.188903	0.341142	94.140122	89.562090	
0.025000	0.177425	0.320020	94.410117	90.741854	
0.024607	0.190457	0.506537	93.932126	85.072988	
0.024215	0.189426	0.402854	93.996125	88.212360	
0.023822	0.191360	0.348440	94.032124	89.632076	
0.023430	0.172029	0.307479	94.640112	90.251952	
0.023039	0.168901	0.319554	94.764109	89.782046	
0.022647	0.170890	0.344566	94.706111	89.812040	
0.022257	0.169536	0.345458	94.742110	89.522098	
0.021867	0.171964	0.431501	94.728110	87.992404	
0.021477	0.175147	0.362784	94.546114	89.362130	
0.021089	0.166340	0.568444	94.896107	83.563290	
0.020702	0.166594	1.537692	94.820109	65.686865	
0.020315	0.163076	0.524611	95.068103	85.392924	
0.019930	0.161487	0.485754	94.964106	86.562690	
0.019546	0.157727	0.318318	95.144102	90.641874	
0.019164	0.150491	0.364095	95.386097	90.002002	
0.018783	0.151672	0.426303	95.438096	87.212560	
0.018403	0.145130	0.361993	95.528094	89.532096	
0.018025	0.142180	0.290908	95.678091	91.561690	
0.017649	0.141867	0.417243	95.696091	88.482306	
0.017275	0.146406	0.318495	95.512094	90.781846	
0.016902	0.144696	0.345391	95.526094	90.411920	
0.016532	0.137449	0.310879	95.806089	90.631876	
0.016163	0.129400	0.322128	96.138082	90.291944	
0.015797	0.131143	0.336142	96.148082	90.271948	
0.015433	0.127194	0.331421	96.114082	90.451912	
0.015071	0.127766	0.361329	96.080083	89.832036	
0.014712	0.118927	0.416190	96.336078	87.952412	
