Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.050000	2.279932	2.151603	11.929762	18.686263	
0.049997	2.008361	1.841971	25.197497	30.183964	
0.049988	1.823314	1.830301	30.999381	32.473506	
0.049972	1.670222	1.674885	36.709267	37.842433	
0.049951	1.467655	1.597291	45.255096	41.801641	
0.049923	1.275014	1.720430	53.440932	42.491503	
0.049889	1.138305	1.353948	59.210817	54.089183	
0.049849	1.046516	1.262136	62.650749	57.688464	
0.049803	0.965318	1.455582	65.742687	50.599881	
0.049751	0.877522	1.262952	69.404614	58.618278	
0.049692	0.805485	0.886682	72.138559	69.376127	
0.049628	0.746598	0.969421	74.542511	68.236355	
0.049557	0.689845	1.517126	76.696468	53.019398	
0.049481	0.646429	0.869153	78.208437	71.895623	
0.049398	0.617699	1.181057	79.262416	61.817638	
0.049309	0.577602	0.814804	80.666388	74.815039	
0.049215	0.553428	1.237579	81.640369	64.577086	
0.049114	0.534010	0.604162	82.094360	80.363930	
0.049007	0.503156	0.634743	83.406334	79.784046	
0.048895	0.488442	1.070597	83.836325	68.286345	
0.048776	0.474982	0.697654	84.330315	77.714460	
0.048652	0.464568	0.717944	84.624309	77.634476	
0.048522	0.443402	0.658299	85.426293	78.904222	
0.048386	0.424460	1.389704	86.074280	61.387724	
0.048244	0.417410	0.995858	86.252276	71.805641	
0.048097	0.406728	0.731896	86.508271	77.354532	
0.047944	0.395436	0.557387	86.812265	82.053592	
0.047785	0.385937	0.548822	87.370254	83.123378	
0.047621	0.378473	0.514132	87.460252	83.423318	
0.047451	0.372662	0.558024	87.720247	82.493504	
0.047275	0.360377	0.701602	88.072240	78.444314	
0.047094	0.363887	0.697522	88.088240	80.033996	
0.046908	0.354496	0.469106	88.426233	84.693064	
0.046716	0.344240	0.834607	88.710227	76.264750	
0.046519	0.342196	0.581467	88.842225	82.133576	
0.046316	0.329623	0.991448	89.322216	69.936015	
0.046108	0.326712	0.622184	89.342215	81.433716	
0.045895	0.315411	0.613848	89.642209	80.993804	
0.045677	0.314789	0.461273	89.734208	85.192964	
0.045454	0.317934	0.472015	89.734208	85.072988	
0.045225	0.312283	0.556014	89.854205	83.833236	
0.044992	0.308990	0.462275	89.948203	85.872828	
0.044754	0.306553	0.427189	90.034201	86.392724	
0.044511	0.300958	0.622896	90.120200	81.723658	
0.044263	0.288317	0.565207	90.730188	82.373528	
0.044010	0.289838	0.417110	90.648189	86.682666	
0.043753	0.289655	0.578373	90.544192	82.353532	
0.043491	0.288397	0.643622	90.722188	80.473908	
0.043224	0.274538	0.544040	91.114181	83.123378	
0.042953	0.274581	0.524561	91.092182	84.023198	
0.042678	0.267344	0.377647	91.438174	88.252352	
0.042398	0.270409	0.562206	91.180179	82.203562	
0.042114	0.269150	0.626566	91.302177	81.023798	
0.041825	0.266735	0.581042	91.434174	81.973608	
0.041533	0.260435	0.550965	91.472174	82.653472	
0.041236	0.258593	0.765437	91.612171	77.884426	
0.040936	0.255318	0.529427	91.756168	84.023198	
0.040631	0.249198	0.351257	91.858166	88.792244	
0.040323	0.250780	0.589800	91.934165	81.723658	
0.040011	0.248050	0.378911	91.970164	88.132376	
0.039695	0.243767	0.658675	92.150161	80.223958	
